# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  15601.000000  15668.000000  2961.541775  0.494562  0.505438  99.489234  87.653162  0.018091  19520.000000  0.001056
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
# ===== O6 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O6  15601.000000  15668.000000  2961.541775  0.504689  0.495311  87.612787  99.524792  0.018091  19520.000000  0.001881
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           248.370265      253.124620       66.375811       80.021055
  DYJetsToLL_M_50                                     Bkg           468.555034      431.527556       56.528876       58.543191
  Data                                                Data        15601.000000    15668.000000      124.903963      125.171882
  ST_s-channel_4f_leptonDecays                        Bkg             0.847520        0.894176        0.275406        0.275488
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.395994        2.370210        0.403915        0.376458
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             2.768970        2.931386        0.387627        0.402840
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           259.807989      269.810741        5.515553        5.617669
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           261.671931      261.097817        5.429785        5.411544
  TTWJetsToLNu                                        Bkg            11.516468       11.050024        0.232363        0.230897
  TTWJetsToQQ                                         Bkg             9.541881        9.874056        0.960501        0.951607
  TTZToLLNuNu                                         Bkg             9.779057        9.796384        0.185828        0.185942
  TTZToQQ                                             Bkg            13.294212       13.472899        0.117969        0.118040
  TTbar_AllHadronic                                   Bkg             0.525745        0.520718        0.198949        0.205708
  TTbar_SemiLeptonic                                  Bkg           189.955239      188.097769        3.194613        3.176951
  TTbar_Signal                                        Signal      15752.364152    15693.209458       26.844106       26.789925
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg             6.295068        6.706947        1.018837        1.043446
  WZ                                                  Bkg             2.652280        2.166198        0.592842        0.503829
  ZZ                                                  Bkg             6.678848        3.443773        1.336258        0.895240

# ===== O7 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O7  15576.000000  15693.000000  2961.541775  0.491131  0.508869  89.325993  97.990059  0.018091  19520.000000  -0.001909
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           263.180383      238.314503       68.124719       78.537508
  DYJetsToLL_M_50                                     Bkg           419.257065      480.825525       57.135171       57.951629
  Data                                                Data        15576.000000    15693.000000      124.803846      125.271705
  ST_s-channel_4f_leptonDecays                        Bkg             1.058014        0.683682        0.281585        0.269169
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.286784        2.479419        0.407019        0.373100
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             2.510633        3.189723        0.382192        0.408000
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           260.883826      268.734904        5.534868        5.598639
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           256.892178      265.877570        5.369750        5.471121
  TTWJetsToLNu                                        Bkg            11.361843       11.204649        0.233022        0.230232
  TTWJetsToQQ                                         Bkg             9.327449       10.088488        0.950002        0.962089
  TTZToLLNuNu                                         Bkg             9.784064        9.791378        0.185260        0.186508
  TTZToQQ                                             Bkg            13.295187       13.471925        0.117737        0.118270
  TTbar_AllHadronic                                   Bkg             0.535582        0.510880        0.202571        0.202143
  TTbar_SemiLeptonic                                  Bkg           190.918836      187.134173        3.200972        3.170544
  TTbar_Signal                                        Signal      15692.770939    15752.802670       26.787871       26.846156
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg             6.243683        6.758332        1.005554        1.056253
  WZ                                                  Bkg             1.755349        3.063129        0.461898        0.626063
  ZZ                                                  Bkg             5.214355        4.908265        1.162368        1.111729

# ===== O8 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O8  15555.000000  15714.000000  2961.541775  0.506267  0.493733  92.754931  94.750764  0.018091  19520.000000  -0.001329
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           267.640371      233.854514       71.978962       75.020974
  DYJetsToLL_M_50                                     Bkg           458.985262      441.097329       57.869183       57.218675
  Data                                                Data        15555.000000    15714.000000      124.719686      125.355494
  ST_s-channel_4f_leptonDecays                        Bkg             0.663636        1.078060        0.266789        0.283841
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.882920        1.883284        0.411929        0.367672
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             2.445422        3.254933        0.364204        0.424135
